business_name,rating,review_count,address,phone,website,categories,price_range,business_hours,yelp_url
Da Andrea - Greenwich Village,4.4,2.6000,35 W 13th St,(212) 367-1979,https://www.daandreanyc.com/menu,N/A,N/A,Mon 11:30 AM - 10:00 PM; Tue 11:30 AM - 10:00 PM; Wed 11:30 AM - 10:00 PM Open now; Thu 11:30 AM - 10:00 PM; Fri 11:30 AM - 11:00 PM; Sat 11:00 AM - 11:00 PM; Sun 11:00 AM - 10:00 PM,https://www.yelp.com/biz/da-andrea-greenwich-village-new-york-2
Valerie,4.3,1.2000,45 W 45th St between 5th & 6th Ave,(212) 302-4545,https://www.valerienewyorkcity.com/menus/,N/A,N/A,Mon 11:30 AM - 12:00 AM (Next day); Tue 11:30 AM - 2:00 AM (Next day); Wed 11:30 AM - 2:00 AM (Next day) Open now; Thu 11:30 AM - 2:00 AM (Next day); Fri 11:30 AM - 2:00 AM (Next day); Sat 11:00 AM - 2:00 AM (Next day); Sun 11:00 AM - 12:00 AM (Next day),https://www.yelp.com/biz/valerie-new-york
La Grande Boucherie,4.4,4.1000,145 W 53rd St,(212) 510-7714,https://www.boucherieus.com/la-grande-boucherie-menus/,N/A,N/A,Mon 8:00 AM - 12:00 AM (Next day); Tue 8:00 AM - 12:00 AM (Next day); Wed 8:00 AM - 12:00 AM (Next day) Open now; Thu 8:00 AM - 12:00 AM (Next day); Fri 8:00 AM - 12:00 AM (Next day); Sat 9:00 AM - 12:00 AM (Next day); Sun 9:00 AM - 12:00 AM (Next day),https://www.yelp.com/biz/la-grande-boucherie-new-york-2
Olio e Più,4.5,6.8000,3 Greenwich Ave,(212) 243-6546,https://www.olioepiu.com/nyc-menu/,N/A,N/A,Mon 11:00 AM - 12:00 AM (Next day); Tue 11:00 AM - 12:00 AM (Next day); Wed 11:00 AM - 12:00 AM (Next day) Open now; Thu 11:00 AM - 12:00 AM (Next day); Fri 11:00 AM - 12:00 AM (Next day); Sat 10:00 AM - 12:00 AM (Next day); Sun 10:00 AM - 12:00 AM (Next day),https://www.yelp.com/biz/olio-e-pi%C3%B9-new-york-7
Rubirosa,4.3,3.6000,235 Mulberry St,(212) 965-0500,https://www.rubirosanyc.com/menus/,N/A,N/A,Mon 11:00 AM - 11:00 PM; Tue 11:00 AM - 11:00 PM; Wed 11:00 AM - 11:00 PM Open now; Thu 11:00 AM - 11:00 PM; Fri 11:00 AM - 11:00 PM; Sat 11:00 AM - 11:00 PM; Sun 11:00 AM - 11:00 PM,https://www.yelp.com/biz/rubirosa-new-york-2
Juliana's,4.4,2.9000,19 Old Fulton St,(718) 596-6700,https://julianaspizza.com/menus/,N/A,N/A,Mon 11:30 AM - 3:15 PM 4:00 PM - 9:00 PM; Tue 11:30 AM - 3:15 PM 4:00 PM - 9:00 PM; Wed 11:30 AM - 3:15 PM 4:00 PM - 9:00 PM Open now; Thu 11:30 AM - 3:15 PM 4:00 PM - 9:00 PM; Fri 11:30 AM - 3:15 PM 4:00 PM - 9:00 PM; Sat 11:30 AM - 3:15 PM 4:00 PM - 9:00 PM; Sun 11:30 AM - 3:15 PM 4:00 PM - 9:00 PM,https://www.yelp.com/biz/julianas-brooklyn-3
Elephant District,4.7,113,9 Old Fulton St,(845) 314-3606,http://www.elephantdistrict.com,N/A,N/A,Mon 11:00 AM - 10:00 PM; Tue 11:00 AM - 10:00 PM; Wed 11:00 AM - 10:00 PM Open now; Thu 11:00 AM - 10:00 PM; Fri 11:00 AM - 11:00 PM; Sat 11:00 AM - 11:00 PM; Sun 11:00 AM - 10:00 PM,https://www.yelp.com/biz/elephant-district-brooklyn
Elephant District,4.7,113,9 Old Fulton St,(845) 314-3606,http://www.elephantdistrict.com,N/A,N/A,Mon 11:00 AM - 10:00 PM; Tue 11:00 AM - 10:00 PM; Wed 11:00 AM - 10:00 PM Open now; Thu 11:00 AM - 10:00 PM; Fri 11:00 AM - 11:00 PM; Sat 11:00 AM - 11:00 PM; Sun 11:00 AM - 10:00 PM,https://www.yelp.com/biz/-_J1rWztwR5fXFSqC6yPDg
Raku,4.5,1.1000,48 Macdougal St,(212) 989-4797,https://rakunyc.com/pages/menu-soho,N/A,N/A,Mon 5:00 PM - 9:30 PM; Tue 12:00 PM - 9:30 PM; Wed 12:00 PM - 9:30 PM Closed now; Thu 12:00 PM - 9:30 PM; Fri 12:00 PM - 10:00 PM; Sat 12:00 PM - 10:00 PM; Sun 12:00 PM - 9:30 PM,https://www.yelp.com/biz/raku-new-york-6
Blue Willow 夜来湘,4.4,1.4000,40 W 56th St,(212) 213-2299,https://www.bluewillownyc.com/food-menu,N/A,N/A,Mon 11:30 AM - 10:00 PM; Tue 11:30 AM - 10:00 PM; Wed 11:30 AM - 10:00 PM Open now; Thu 11:30 AM - 10:00 PM; Fri 11:30 AM - 10:00 PM; Sat 12:00 PM - 10:00 PM; Sun 12:00 PM - 10:00 PM,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2
